date,amount
2020-01,2400
2020-02,4200
2020-03,4500
2020-04,8000
2020-05,4300
2020-06,4100
2020-07,3800
2020-08,3600
2020-09,3500
2020-10,9000
2020-11,4400
2020-12,600
2021-01,2600
2021-02,4500
2021-03,4700
2021-04,9000
2021-05,4600
2021-06,4400
2021-07,8000
2021-08,3900
2021-09,500
2021-10,9500
2021-11,4800
2021-12,4200
2022-01,2700
2022-02,4800
2022-03,5000
2022-04,9200
2022-05,4900
2022-06,8500
2022-07,4200
2022-08,600
2022-09,3800
2022-10,9800
2022-11,5200
2022-12,4600
2023-01,2800
2023-02,5200
2023-03,5400
2023-04,10000
2023-05,5300
2023-06,5100
2023-07,9000
2023-08,4200
2023-09,700
2023-10,10500
2023-11,5600
2023-12,5000
2024-01,2700
2024-02,6000
2024-03,6500
2024-04,10200
2024-05,6100
2024-06,5900
2024-07,11000
2024-08,5800
2024-09,700
2024-10,9500
2024-11,6700
2024-12,6500
