date,amount
2020-01,2000
2020-02,1900
2020-03,2100
2020-04,700
2020-05,2300
2020-06,3200
2020-07,3400
2020-08,3100
2020-09,2500
2020-10,4800
2020-11,2200
2020-12,1500
2021-01,2100
2021-02,800
2021-03,2200
2021-04,2100
2021-05,2400
2021-06,3400
2021-07,3600
2021-08,3300
2021-09,5000
2021-10,2500
2021-11,2300
2021-12,1500
2022-01,2200
2022-02,2100
2022-03,700
2022-04,2200
2022-05,2400
2022-06,3600
2022-07,3800
2022-08,3600
2022-09,5200
2022-10,2600
2022-11,2400
2022-12,1500
2023-01,2300
2023-02,2200
2023-03,2400
2023-04,600
2023-05,2500
2023-06,3700
2023-07,3900
2023-08,3700
2023-09,3000
2023-10,5000
2023-11,2500
2023-12,1500
2024-01,2500
2024-02,700
2024-03,2600
2024-04,2500
2024-05,2700
2024-06,4000
2024-07,4200
2024-08,4000
2024-09,3300
2024-10,5500
2024-11,2800
2024-12,1500
